date,category,issue,name,price
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161980,POKEMON ADV BLACK & WHITE 2 GN VOL 01 (C: 1-0-0),$9.99
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161981,POKEMON XY GN VOL 09 (C: 1-0-1),$4.99
2017-01-04,COMICS & GRAPHIC NOVELS,OCT161911,PRINCESS AI GN VOL 02 LUMINATION,$9.99
2017-01-04,COMICS & GRAPHIC NOVELS,OCT161912,PRINCESS AI GN VOL 03 EVOLUTION,$9.99
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161483,PROJECT SUPERPOWERS THE OWL TP,$15.99
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161352,RENFIELD TALE OF MADNESS TP,$16.99
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161639,RING OF THE SEVEN WORLDS GN (C: 0-0-1),$24.95
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161977,RUROUNI KENSHIN 3IN1 TP VOL 01 (C: 1-0-1),$14.99
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161973,SERAPH OF END VAMPIRE REIGN GN VOL 11 (C: 1-0-1),$9.99
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161689,SIX DAYS IN CINCINNATI GN,$11.95
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161353,SIXSMITHS GN,$16.99
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161998,SKIP BEAT 3IN1 TP VOL 12 (C: 1-0-1),$14.99
2017-01-04,COMICS & GRAPHIC NOVELS,SEP161859,SMURFS ANTHOLOGY HC VOL 04 (RES) (C: 0-0-1),$19.99
2017-01-04,COMICS & GRAPHIC NOVELS,JUN161429,SQUARRIORS VOL 02 SUMMER #2 (OF 4),$3.99
2017-01-04,COMICS & GRAPHIC NOVELS,AUG161193,STEAM WARS BOUNTY HUNTERS HELL FOR HIRE (ONE SHOT),$3.99
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161096,THIN TP (C: 0-0-1),$14.99
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161355,TOWER OF COMIC BOOK FREAKS GN,$18.99
